question_id,dimension,type,required,min_chars,text_en,text_pl,options_json,reverse_scored

DI_01,DI,multiple_choice,true,,As a leader, you receive information that is formally legal but ethically uncomfortable and could provide strategic advantage. What do you do first?,,,"[{""value"":""A"",""label_en"":""Use the information – responsibility lies with the source""},{""value"":""B"",""label_en"":""Consult informally with a trusted colleague""},{""value"":""C"",""label_en"":""Delay the decision and seek an alternative source""},{""value"":""D"",""label_en"":""Reject using the information regardless of cost""}]",false

DI_02,DI,likert_5,true,,The board expects a fast decision. You know more time would improve quality, but delay may be seen as lack of decisiveness.,,,false

RP_03,RP,multiple_choice,true,,In the same week a key manager leaves, a strategic project slips, and media pressure escalates. Which area gets your attention first?,,,"[{""value"":""A"",""label_en"":""People""},{""value"":""B"",""label_en"":""External communication""},{""value"":""C"",""label_en"":""The project""},{""value"":""D"",""label_en"":""Internal damage control""}]",false

RP_04,RP,likert_5,true,,Under overload, how do you usually react internally? (from focused mobilisation to irritation and decision shortcutting),,,false

MA_05,MA,multiple_choice,true,,A powerful stakeholder presents a solution as the only realistic option, supported by authority and time pressure. Your reaction?,,,"[{""value"":""A"",""label_en"":""Accept – pragmatism is required""},{""value"":""B"",""label_en"":""Ask for alternatives""},{""value"":""C"",""label_en"":""Check who actually benefits""},{""value"":""D"",""label_en"":""Postpone despite pressure""}]",false

MA_06,MA,likert_5,true,,How often do you change your position not because of new data, but because the power context has shifted?,,,false

AC_07,AC,multiple_choice,true,,During the day you receive many urgent inputs. Which best describes your style?,,,"[{""value"":""A"",""label_en"":""I react continuously""},{""value"":""B"",""label_en"":""I delegate most of them""},{""value"":""C"",""label_en"":""I separate urgent from important""},{""value"":""D"",""label_en"":""I block access and return to priorities""}]",false

AC_08,AC,open_text,true,30,What most often steals your attention in critical moments?,,,false

PR_09,PR,multiple_choice,true,,A decision is formally yours, but the team is divided. What role do you take?,,,"[{""value"":""A"",""label_en"":""I decide alone""},{""value"":""B"",""label_en"":""I build consensus""},{""value"":""C"",""label_en"":""I delegate responsibility""},{""value"":""D"",""label_en"":""I postpone the decision""}]",false

PR_10,PR,multiple_choice,true,,When was the last time you changed a decision because someone lower in the hierarchy was right?,,,"[{""value"":""A"",""label_en"":""Recently""},{""value"":""B"",""label_en"":""A few times a year""},{""value"":""C"",""label_en"":""Rarely""},{""value"":""D"",""label_en"":""I don’t recall""}]",false

